request_execution_time_normalized,cdf
0.02553497441112995,0.0006583278472679394
0.028120582923293114,0.0013166556945358788
0.029559746384620667,0.0019749835418038184
0.03767795115709305,0.0026333113890717576
0.03813507407903671,0.0032916392363396972
0.038847193121910095,0.003949967083607637
0.04049183800816536,0.004608294930875576
0.04053227975964546,0.005266622778143515
0.04169454798102379,0.005924950625411455
0.04184519127011299,0.0065832784726793945
0.042230378836393356,0.007241606319947334
0.04351431876420975,0.007899934167215274
0.04390881583094597,0.008558262014483212
0.04422488063573837,0.009216589861751152
0.04559515044093132,0.009874917709019092
0.04571282118558884,0.01053324555628703
0.04740900173783302,0.01119157340355497
0.04783034324645996,0.01184990125082291
0.04912004992365837,0.012508229098090849
0.04971304163336754,0.013166556945358789
0.050439972430467606,0.013824884792626729
0.050620291382074356,0.014483212639894667
0.05097407475113869,0.015141540487162607
0.05134235695004463,0.015799868334430547
0.05168618634343147,0.016458196181698487
0.05170810595154762,0.017116524028966424
0.051853734999895096,0.017774851876234364
0.052344970405101776,0.018433179723502304
0.052558135241270065,0.019091507570770244
0.05282791331410408,0.019749835418038184
0.052859365940093994,0.02040816326530612
0.053227122873067856,0.02106649111257406
0.05345361679792404,0.021724818959842
0.053574737161397934,0.02238314680710994
0.05366506800055504,0.02304147465437788
0.05377266928553581,0.02369980250164582
0.05398011952638626,0.024358130348913758
0.05409173667430878,0.025016458196181698
0.054233476519584656,0.025674786043449638
0.05436747521162033,0.026333113890717578
0.05482837185263634,0.026991441737985518
0.054895028471946716,0.027649769585253458
0.05536804348230362,0.028308097432521395
0.05537585914134979,0.028966425279789335
0.0554792620241642,0.029624753127057275
0.0557253398001194,0.030283080974325215
0.055741701275110245,0.030941408821593155
0.05575430393218994,0.031599736668861095
0.055760275572538376,0.03225806451612903
0.055886659771203995,0.032916392363396975
0.05592595040798187,0.03357472021066491
0.05596524849534035,0.03423304805793285
0.05623631924390793,0.03489137590520079
0.0562593936920166,0.03554970375246873
0.05630841478705406,0.03620803159973667
0.05646666884422302,0.03686635944700461
0.056670624762773514,0.037524687294272545
0.05678499490022659,0.03818301514154049
0.05685500055551529,0.038841342988808425
0.05686969682574272,0.03949967083607637
0.05688425526022911,0.040157998683344305
0.05689990893006325,0.04081632653061224
0.05702342092990875,0.041474654377880185
0.05737324059009552,0.04213298222514812
0.057389553636312485,0.042791310072416065
0.05743817239999771,0.043449637919684
0.05744357779622078,0.044107965766951945
0.05745014548301697,0.04476629361421988
0.05759923532605171,0.04542462146148782
0.057611022144556046,0.04608294930875576
