batch_num_decode_tokens,cdf
0.0,0.00018129079042784627
0.0,0.00036258158085569254
0.0,0.0005438723712835388
0.0,0.0007251631617113851
0.0,0.0009064539521392314
0.0,0.0010877447425670776
0.0,0.0012690355329949238
0.0,0.0014503263234227702
0.0,0.0016316171138506164
0.0,0.0018129079042784628
0.0,0.001994198694706309
0.0,0.002175489485134155
0.0,0.0023567802755620013
0.0,0.0025380710659898475
0.0,0.002719361856417694
0.0,0.0029006526468455403
0.0,0.0030819434372733865
0.0,0.0032632342277012327
0.0,0.003444525018129079
0.0,0.0036258158085569255
0.0,0.0038071065989847717
0.0,0.003988397389412618
0.0,0.004169688179840464
0.0,0.00435097897026831
0.0,0.0045322697606961565
0.0,0.004713560551124003
0.0,0.004894851341551849
0.0,0.005076142131979695
0.0,0.005257432922407542
0.0,0.005438723712835388
1.0,0.0056200145032632345
1.0,0.005801305293691081
1.0,0.005982596084118927
1.0,0.006163886874546773
1.0,0.006345177664974619
1.0,0.006526468455402465
1.0,0.006707759245830312
1.0,0.006889050036258158
1.0,0.007070340826686004
1.0,0.007251631617113851
1.0,0.007432922407541697
1.0,0.007614213197969543
1.0,0.00779550398839739
1.0,0.007976794778825236
1.0,0.008158085569253081
1.0,0.008339376359680928
1.0,0.008520667150108775
1.0,0.00870195794053662
1.0,0.008883248730964468
1.0,0.009064539521392313
1.0,0.00924583031182016
1.0,0.009427121102248005
1.0,0.009608411892675852
2.0,0.009789702683103698
2.0,0.009970993473531545
2.0,0.01015228426395939
2.0,0.010333575054387237
2.0,0.010514865844815084
2.0,0.01069615663524293
2.0,0.010877447425670777
2.0,0.011058738216098622
2.0,0.011240029006526469
2.0,0.011421319796954314
2.0,0.011602610587382161
2.0,0.011783901377810007
2.0,0.011965192168237854
2.0,0.012146482958665699
2.0,0.012327773749093546
2.0,0.012509064539521393
2.0,0.012690355329949238
3.0,0.012871646120377086
3.0,0.01305293691080493
3.0,0.013234227701232778
3.0,0.013415518491660623
3.0,0.01359680928208847
3.0,0.013778100072516316
3.0,0.013959390862944163
3.0,0.014140681653372008
3.0,0.014321972443799855
3.0,0.014503263234227702
4.0,0.014684554024655547
4.0,0.014865844815083394
4.0,0.01504713560551124
4.0,0.015228426395939087
4.0,0.015409717186366932
4.0,0.01559100797679478
4.0,0.015772298767222626
4.0,0.01595358955765047
4.0,0.016134880348078317
4.0,0.016316171138506162
4.0,0.01649746192893401
4.0,0.016678752719361856
4.0,0.0168600435097897
4.0,0.01704133430021755
4.0,0.017222625090645396
5.0,0.01740391588107324
5.0,0.017585206671501086
5.0,0.017766497461928935
5.0,0.01794778825235678
5.0,0.018129079042784626
5.0,0.01831036983321247
5.0,0.01849166062364032
5.0,0.018672951414068165
5.0,0.01885424220449601
5.0,0.01903553299492386
5.0,0.019216823785351705
5.0,0.01939811457577955
5.0,0.019579405366207395
5.0,0.019760696156635244
5.0,0.01994198694706309
5.0,0.020123277737490935
5.0,0.02030456852791878
5.0,0.02048585931834663
5.0,0.020667150108774474
5.0,0.02084844089920232
5.0,0.02102973168963017
6.0,0.021211022480058014
6.0,0.02139231327048586
6.0,0.021573604060913704
6.0,0.021754894851341553
6.0,0.0219361856417694
6.0,0.022117476432197244
6.0,0.02229876722262509
6.0,0.022480058013052938
6.0,0.022661348803480783
6.0,0.02284263959390863
6.0,0.023023930384336477
6.0,0.023205221174764323
6.0,0.023386511965192168
6.0,0.023567802755620013
6.0,0.023749093546047862
6.0,0.023930384336475707
6.0,0.024111675126903553
6.0,0.024292965917331398
6.0,0.024474256707759247
6.0,0.024655547498187092
6.0,0.024836838288614937
6.0,0.025018129079042786
6.0,0.02519941986947063
6.0,0.025380710659898477
6.0,0.025562001450326322
6.0,0.02574329224075417
6.0,0.025924583031182016
6.0,0.02610587382160986
6.0,0.026287164612037707
6.0,0.026468455402465556
6.0,0.0266497461928934
6.0,0.026831036983321246
6.0,0.027012327773749095
6.0,0.02719361856417694
6.0,0.027374909354604786
6.0,0.02755620014503263
6.0,0.02773749093546048
6.0,0.027918781725888325
6.0,0.02810007251631617
6.0,0.028281363306744016
6.0,0.028462654097171865
6.0,0.02864394488759971
6.0,0.028825235678027555
6.0,0.029006526468455404
6.0,0.02918781725888325
6.0,0.029369108049311095
7.0,0.02955039883973894
7.0,0.02973168963016679
7.0,0.029912980420594634
7.0,0.03009427121102248
7.0,0.030275562001450325
7.0,0.030456852791878174
7.0,0.03063814358230602
7.0,0.030819434372733864
7.0,0.031000725163161713
7.0,0.03118201595358956
7.0,0.031363306744017404
7.0,0.03154459753444525
7.0,0.031725888324873094
7.0,0.03190717911530094
7.0,0.03208846990572879
7.0,0.032269760696156634
7.0,0.03245105148658448
7.0,0.032632342277012324
7.0,0.03281363306744017
7.0,0.03299492385786802
7.0,0.033176214648295864
7.0,0.03335750543872371
7.0,0.03353879622915156
7.0,0.0337200870195794
7.0,0.03390137781000725
7.0,0.0340826686004351
7.0,0.03426395939086294
7.0,0.03444525018129079
7.0,0.03462654097171863
7.0,0.03480783176214648
7.0,0.03498912255257433
