inter_batch_delay,cdf
2.8371810913085938e-05,0.00018132366273798732
3.123283386230469e-05,0.00036264732547597464
3.1948089599609375e-05,0.0005439709882139619
3.1948089599609375e-05,0.0007252946509519493
3.266334533691406e-05,0.0009066183136899365
3.314018249511719e-05,0.0010879419764279238
3.3855438232421875e-05,0.001269265639165911
3.409385681152344e-05,0.0014505893019038985
3.457069396972656e-05,0.0016319129646418858
3.457069396972656e-05,0.001813236627379873
3.4809112548828125e-05,0.0019945602901178605
3.528594970703125e-05,0.0021758839528558476
3.552436828613281e-05,0.002357207615593835
3.719329833984375e-05,0.002538531278331822
3.719329833984375e-05,0.0027198549410698096
3.7670135498046875e-05,0.002901178603807797
3.790855407714844e-05,0.003082502266545784
3.838539123535156e-05,0.0032638259292837716
3.910064697265625e-05,0.0034451495920217587
4.0531158447265625e-05,0.003626473254759746
4.100799560546875e-05,0.0038077969174977336
4.1484832763671875e-05,0.003989120580235721
4.172325134277344e-05,0.004170444242973708
4.220008850097656e-05,0.004351767905711695
4.220008850097656e-05,0.004533091568449683
4.220008850097656e-05,0.00471441523118767
4.2438507080078125e-05,0.004895738893925658
4.267692565917969e-05,0.005077062556663644
4.291534423828125e-05,0.005258386219401632
4.315376281738281e-05,0.005439709882139619
4.315376281738281e-05,0.005621033544877607
4.3392181396484375e-05,0.005802357207615594
4.363059997558594e-05,0.005983680870353581
4.4345855712890625e-05,0.006165004533091568
4.4345855712890625e-05,0.006346328195829556
4.482269287109375e-05,0.006527651858567543
4.506111145019531e-05,0.006708975521305531
4.5299530029296875e-05,0.006890299184043517
4.5299530029296875e-05,0.007071622846781505
4.57763671875e-05,0.007252946509519492
4.649162292480469e-05,0.00743427017225748
4.673004150390625e-05,0.007615593834995467
4.7206878662109375e-05,0.007796917497733454
4.744529724121094e-05,0.007978241160471442
4.744529724121094e-05,0.008159564823209429
4.744529724121094e-05,0.008340888485947415
4.76837158203125e-05,0.008522212148685404
4.76837158203125e-05,0.00870353581142339
4.76837158203125e-05,0.008884859474161379
4.792213439941406e-05,0.009066183136899365
4.792213439941406e-05,0.009247506799637352
4.792213439941406e-05,0.00942883046237534
4.8160552978515625e-05,0.009610154125113327
4.863739013671875e-05,0.009791477787851315
4.863739013671875e-05,0.009972801450589302
4.863739013671875e-05,0.010154125113327288
4.863739013671875e-05,0.010335448776065277
4.887580871582031e-05,0.010516772438803263
4.887580871582031e-05,0.010698096101541252
4.887580871582031e-05,0.010879419764279238
4.887580871582031e-05,0.011060743427017225
4.887580871582031e-05,0.011242067089755213
4.887580871582031e-05,0.0114233907524932
4.887580871582031e-05,0.011604714415231188
4.9114227294921875e-05,0.011786038077969175
4.9114227294921875e-05,0.011967361740707162
4.935264587402344e-05,0.01214868540344515
4.982948303222656e-05,0.012330009066183137
4.982948303222656e-05,0.012511332728921125
5.0067901611328125e-05,0.012692656391659111
5.0067901611328125e-05,0.012873980054397098
5.030632019042969e-05,0.013055303717135086
5.030632019042969e-05,0.013236627379873073
5.054473876953125e-05,0.013417951042611061
5.078315734863281e-05,0.013599274705349048
5.078315734863281e-05,0.013780598368087035
5.1021575927734375e-05,0.013961922030825023
5.1021575927734375e-05,0.01414324569356301
5.125999450683594e-05,0.014324569356300998
5.125999450683594e-05,0.014505893019038985
5.125999450683594e-05,0.014687216681776971
5.125999450683594e-05,0.01486854034451496
5.14984130859375e-05,0.015049864007252946
5.14984130859375e-05,0.015231187669990934
5.173683166503906e-05,0.015412511332728921
5.173683166503906e-05,0.015593834995466908
5.173683166503906e-05,0.015775158658204894
5.173683166503906e-05,0.015956482320942884
5.173683166503906e-05,0.01613780598368087
5.173683166503906e-05,0.016319129646418858
5.173683166503906e-05,0.016500453309156844
5.173683166503906e-05,0.01668177697189483
5.1975250244140625e-05,0.01686310063463282
5.1975250244140625e-05,0.017044424297370808
5.1975250244140625e-05,0.017225747960108794
5.221366882324219e-05,0.01740707162284678
5.221366882324219e-05,0.017588395285584767
5.245208740234375e-05,0.017769718948322757
5.245208740234375e-05,0.017951042611060744
5.245208740234375e-05,0.01813236627379873
5.245208740234375e-05,0.018313689936536717
5.269050598144531e-05,0.018495013599274704
5.269050598144531e-05,0.018676337262012694
5.269050598144531e-05,0.01885766092475068
5.269050598144531e-05,0.019038984587488667
5.269050598144531e-05,0.019220308250226654
5.2928924560546875e-05,0.01940163191296464
5.2928924560546875e-05,0.01958295557570263
5.2928924560546875e-05,0.019764279238440617
5.2928924560546875e-05,0.019945602901178604
5.316734313964844e-05,0.02012692656391659
5.340576171875e-05,0.020308250226654577
5.340576171875e-05,0.020489573889392567
5.340576171875e-05,0.020670897552130554
5.340576171875e-05,0.02085222121486854
5.340576171875e-05,0.021033544877606527
5.364418029785156e-05,0.021214868540344513
5.364418029785156e-05,0.021396192203082504
5.364418029785156e-05,0.02157751586582049
5.364418029785156e-05,0.021758839528558477
5.364418029785156e-05,0.021940163191296463
5.364418029785156e-05,0.02212148685403445
5.3882598876953125e-05,0.02230281051677244
5.3882598876953125e-05,0.022484134179510427
5.3882598876953125e-05,0.022665457842248413
5.412101745605469e-05,0.0228467815049864
5.412101745605469e-05,0.023028105167724387
5.412101745605469e-05,0.023209428830462377
5.412101745605469e-05,0.023390752493200363
5.435943603515625e-05,0.02357207615593835
5.435943603515625e-05,0.023753399818676336
5.435943603515625e-05,0.023934723481414323
5.435943603515625e-05,0.024116047144152313
5.435943603515625e-05,0.0242973708068903
5.459785461425781e-05,0.024478694469628286
5.459785461425781e-05,0.024660018132366273
5.459785461425781e-05,0.02484134179510426
5.459785461425781e-05,0.02502266545784225
5.459785461425781e-05,0.025203989120580236
5.459785461425781e-05,0.025385312783318223
5.459785461425781e-05,0.02556663644605621
5.459785461425781e-05,0.025747960108794196
5.459785461425781e-05,0.025929283771532186
5.459785461425781e-05,0.026110607434270173
5.459785461425781e-05,0.02629193109700816
5.4836273193359375e-05,0.026473254759746146
5.4836273193359375e-05,0.026654578422484133
5.4836273193359375e-05,0.026835902085222123
5.4836273193359375e-05,0.02701722574796011
5.4836273193359375e-05,0.027198549410698096
5.4836273193359375e-05,0.027379873073436083
5.507469177246094e-05,0.02756119673617407
