COUNT,Count,Percentage
28.085,1187,78.14351547070441
84.34,44,2.8966425279789334
139.9,30,1.9749835418038184
195.46,36,2.369980250164582
251.02,28,1.8433179723502304
306.58000000000004,44,2.8966425279789334
362.14,37,2.435813034891376
417.70000000000005,34,2.238314680710994
473.26,24,1.5799868334430547
528.82,22,1.4483212639894667
584.38,14,0.9216589861751152
639.94,6,0.39499670836076367
695.5,4,0.2633311389071758
751.06,3,0.19749835418038184
862.1800000000001,2,0.1316655694535879
