SECONDS,prefix_cache_block_hits
1746688296.9304276,0.0
1746688296.9683473,0.0
1746688297.0062404,0.0
1746688297.04434,0.0
1746688297.0828357,0.0
1746688297.1216686,0.0
1746688297.160886,0.0
1746688297.2003975,0.0
1746688297.2402928,0.0
1746688297.280541,0.0
1746688297.3210258,0.0
1746688297.3617287,0.0
1746688297.4026995,0.0
1746688297.4440536,0.0
1746688297.4625924,0.0
1746688297.4779723,0.0
1746688297.493136,0.0
1746688297.5082881,0.0
1746688297.5234747,0.0
1746688297.538853,0.0
1746688297.5540707,0.0
1746688297.5692668,0.0
1746688297.5844986,0.0
1746688297.599691,0.0
1746688297.614964,0.0
1746688297.6301236,0.0
1746688297.645312,0.0
1746688297.660481,0.0
1746688297.6756966,0.0
1746688297.6909206,0.0
1746688297.7061183,0.0
1746688297.7213686,0.0
1746688297.7366183,0.0
1746688297.7518597,0.0
1746688297.7671747,0.0
1746688297.782526,0.0
1746688297.7978618,0.0
1746688297.8131196,0.0
1746688297.8283753,0.0
1746688297.8436966,0.0
1746688297.8590784,0.0
1746688297.8743649,0.0
1746688297.8896737,0.0
1746688297.9049723,0.0
1746688297.9202445,0.0
1746688297.9355648,0.0
1746688297.9509459,0.0
1746688297.9662344,0.0
1746688297.981645,0.0
1746688297.9969206,0.0
1746688298.0122366,0.0
1746688298.0277016,0.0
1746688298.0429947,0.0
1746688298.0582802,0.0
1746688298.073577,0.0
1746688298.0888143,0.0
1746688298.104072,0.0
1746688298.119365,0.0
1746688298.1347594,0.0
1746688298.15006,0.0
1746688298.165343,0.0
1746688298.1807408,0.0
1746688298.1960998,0.0
1746688298.211512,0.0
1746688298.22687,0.0
1746688298.242134,0.0
1746688298.2574663,0.0
1746688298.2730186,0.0
1746688298.2884374,0.0
1746688298.3038316,0.0
1746688298.3195004,0.0
1746688298.335011,0.0
1746688298.3501937,0.0
1746688298.3655713,0.0
1746688298.3809712,0.0
1746688298.3962655,0.0
1746688298.4116185,0.0
1746688298.4270391,0.0
1746688298.4422953,0.0
1746688298.4576256,0.0
1746688298.4729533,0.0
1746688298.51784,32.0
1746688298.5343926,64.0
1746688298.5500178,96.0
1746688298.5655572,128.0
1746688298.5811362,160.0
1746688298.5966725,192.0
1746688298.6123776,224.0
1746688298.6279142,256.0
1746688298.6434314,288.0
1746688298.658852,320.0
1746688298.6742635,352.0
1746688298.6897638,384.0
1746688298.7052157,416.0
1746688298.7207408,448.0
1746688298.736318,480.0
1746688298.751793,512.0
1746688298.7672846,544.0
1746688298.78286,576.0
1746688298.7985349,608.0
1746688298.814093,640.0
1746688298.8296502,672.0
1746688298.8451762,704.0
1746688298.8609297,736.0
1746688298.8764434,768.0
1746688298.8918705,800.0
1746688298.9072025,832.0
1746688298.9225805,864.0
1746688298.9381413,896.0
1746688298.9536586,928.0
1746688298.969159,960.0
1746688298.984723,992.0
1746688299.000303,1024.0
1746688299.0158818,1056.0
1746688299.0314374,1088.0
1746688299.0471268,1120.0
1746688299.062624,1152.0
1746688299.078179,1184.0
1746688299.0937269,1216.0
1746688299.1093302,1248.0
1746688299.12482,1280.0
1746688299.1403418,1312.0
1746688299.1557968,1344.0
1746688299.1712794,1376.0
1746688299.1869035,1408.0
1746688299.20246,1440.0
1746688299.217955,1472.0
1746688299.2335284,1504.0
1746688299.2490652,1536.0
1746688299.2644596,1568.0
1746688299.2800012,1600.0
1746688299.2957244,1632.0
1746688299.3113177,1664.0
1746688299.3269455,1696.0
1746688299.3425813,1728.0
1746688299.358299,1760.0
1746688299.373751,1792.0
1746688299.389303,1824.0
1746688299.4047978,1856.0
1746688299.420253,1888.0
1746688299.4357607,1920.0
1746688299.451276,1952.0
1746688299.4667735,1984.0
1746688299.4822726,2016.0
1746688299.4977877,2048.0
1746688299.5133207,2080.0
1746688299.5288537,2112.0
1746688299.5445154,2144.0
1746688299.5601199,2176.0
1746688299.5756135,2208.0
1746688299.5910778,2240.0
1746688299.606744,2272.0
1746688299.6222093,2304.0
1746688299.6377969,2336.0
1746688299.653283,2368.0
1746688299.6687427,2400.0
1746688299.6844215,2432.0
1746688299.7001405,2464.0
1746688299.7157116,2496.0
1746688299.7313514,2528.0
1746688299.7469163,2560.0
1746688299.7626102,2592.0
1746688299.7782884,2624.0
1746688299.7939236,2656.0
1746688299.8092217,2688.0
1746688299.8245852,2720.0
1746688299.840274,2752.0
1746688299.8561673,2784.0
1746688299.8718457,2816.0
1746688299.8875701,2848.0
1746688299.903272,2880.0
1746688299.9188883,2912.0
1746688299.9344957,2944.0
1746688299.950136,2976.0
1746688299.96576,3008.0
1746688299.9814572,3040.0
1746688299.9970946,3072.0
1746688300.0127249,3104.0
1746688300.028327,3136.0
1746688300.044055,3168.0
1746688300.0595663,3200.0
1746688300.0750818,3232.0
1746688300.0906692,3264.0
1746688300.1064303,3296.0
1746688300.1222086,3328.0
1746688300.1380143,3360.0
1746688300.1537342,3392.0
1746688300.169354,3424.0
1746688300.1851194,3456.0
1746688300.2008555,3488.0
1746688300.2166622,3520.0
1746688300.2323844,3552.0
1746688300.2480507,3584.0
1746688300.2637777,3616.0
1746688300.2794535,3648.0
1746688300.2953668,3680.0
1746688300.3110876,3712.0
1746688300.3267846,3744.0
1746688300.3424668,3776.0
1746688300.3583415,3808.0
1746688300.374149,3840.0
1746688300.3898408,3872.0
1746688300.4055073,3904.0
1746688300.421147,3936.0
1746688300.4368467,3968.0
1746688300.452567,4000.0
1746688300.4682548,4032.0
1746688300.4840112,4064.0
1746688300.4995272,4096.0
1746688300.515288,4128.0
1746688300.5311189,4160.0
1746688300.5469573,4192.0
1746688300.5625844,4224.0
1746688300.5782523,4256.0
1746688300.5938847,4288.0
1746688300.6095915,4320.0
1746688300.6253123,4352.0
1746688300.640975,4384.0
1746688300.6565948,4416.0
1746688300.67219,4448.0
1746688300.6878252,4480.0
1746688300.7034407,4512.0
1746688300.7190325,4544.0
1746688300.7346647,4576.0
1746688300.7502964,4608.0
1746688300.7659228,4640.0
1746688300.7815092,4672.0
1746688300.7971764,4704.0
1746688300.8125284,4736.0
1746688300.8278773,4768.0
1746688300.8432472,4800.0
1746688300.858715,4832.0
1746688300.8742206,4864.0
1746688300.8898716,4896.0
1746688300.9054477,4928.0
1746688300.9209015,4960.0
1746688300.936426,4992.0
1746688300.9520237,5024.0
1746688300.967572,5056.0
1746688300.9832134,5088.0
1746688300.998797,5120.0
1746688301.0144897,5152.0
1746688301.0302594,5184.0
1746688301.0460865,5216.0
1746688301.0616643,5248.0
1746688301.0773654,5280.0
1746688301.093016,5312.0
1746688301.108829,5344.0
1746688301.1245036,5376.0
1746688301.1401205,5408.0
1746688301.1558082,5440.0
1746688301.1715086,5472.0
1746688301.1872575,5504.0
1746688301.2029414,5536.0
1746688301.218681,5568.0
1746688301.2344542,5600.0
1746688301.2502344,5632.0
1746688301.2658641,5664.0
1746688301.2816517,5696.0
1746688301.2974951,5728.0
1746688301.3133278,5760.0
1746688301.3290627,5792.0
1746688301.3447733,5824.0
1746688301.3606458,5856.0
1746688301.3763912,5888.0
1746688301.3921106,5920.0
1746688301.4078329,5952.0
1746688301.4235535,5984.0
1746688301.4393172,6016.0
1746688301.4549797,6048.0
1746688301.470548,6080.0
1746688301.515941,6144.0
1746688301.5556574,6208.0
1746688301.5725174,6272.0
1746688301.5882971,6336.0
1746688301.604105,6400.0
1746688301.619846,6464.0
1746688301.6355333,6528.0
1746688301.6513402,6592.0
1746688301.6672385,6656.0
1746688301.6830373,6720.0
1746688301.6987622,6784.0
1746688301.7146118,6848.0
1746688301.7304459,6912.0
1746688301.7461872,6976.0
1746688301.7620094,7040.0
1746688301.777734,7104.0
1746688301.7934892,7168.0
