batch_execution_time,cdf
0.014238595962524414,5.3149083178315176e-05
0.014330625534057617,0.00010629816635663035
0.01435708999633789,0.00015944724953494553
0.014373064041137695,0.0002125963327132607
0.014374017715454102,0.00026574541589157585
0.014379739761352539,0.00031889449906989106
0.014380216598510742,0.0003720435822482062
0.014382600784301758,0.0004251926654265214
0.014383554458618164,0.00047834174860483656
0.014384746551513672,0.0005314908317831517
0.014386177062988281,0.0005846399149614669
0.014387130737304688,0.0006377889981397821
0.014387369155883789,0.0006909380813180972
0.014387845993041992,0.0007440871644964124
0.014388084411621094,0.0007972362476747276
0.014389276504516602,0.0008503853308530428
0.014389753341674805,0.0009035344140313579
0.014391422271728516,0.0009566834972096731
0.014392614364624023,0.0010098325803879883
0.014394044876098633,0.0010629816635663034
0.014394998550415039,0.0011161307467446187
0.014395475387573242,0.0011692798299229338
0.014395952224731445,0.001222428913101249
0.014396905899047852,0.0012755779962795642
0.014397144317626953,0.0013287270794578793
0.01439809799194336,0.0013818761626361944
0.014400243759155273,0.0014350252458145097
0.014402151107788086,0.0014881743289928248
0.014407157897949219,0.0015413234121711401
0.01440882682800293,0.0015944724953494552
0.014410018920898438,0.0016476215785277703
0.01441049575805664,0.0017007706617060856
0.014410734176635742,0.0017539197448844007
0.014414072036743164,0.0018070688280627158
0.014416933059692383,0.0018602179112410311
0.0144195556640625,0.0019133669944193462
0.014420270919799805,0.0019665160775976616
0.01442098617553711,0.0020196651607759766
0.014422416687011719,0.0020728142439542917
0.014426469802856445,0.002125963327132607
0.014428853988647461,0.002179112410310922
0.014429807662963867,0.0022322614934892375
0.014430999755859375,0.0022854105766675526
0.014431953430175781,0.0023385596598458677
0.014432907104492188,0.0023917087430241827
0.014433145523071289,0.002444857826202498
0.01443338394165039,0.0024980069093808134
0.014434099197387695,0.0025511559925591285
0.014434337615966797,0.0026043050757374436
0.014434814453125,0.0026574541589157587
0.014434814453125,0.0027106032420940738
0.014435052871704102,0.002763752325272389
0.014435291290283203,0.0028169014084507044
0.01443791389465332,0.0028700504916290195
0.014438390731811523,0.0029231995748073346
0.014438390731811523,0.0029763486579856497
0.014438629150390625,0.0030294977411639648
0.014438867568969727,0.0030826468243422803
0.014439105987548828,0.0031357959075205954
0.014439821243286133,0.0031889449906989105
0.014440059661865234,0.0032420940738772256
0.014441490173339844,0.0032952431570555407
0.014441967010498047,0.0033483922402338558
0.014442205429077148,0.0034015413234121713
0.014444828033447266,0.0034546904065904864
0.014448404312133789,0.0035078394897688015
0.014450311660766602,0.0035609885729471166
0.014450550079345703,0.0036141376561254317
0.014451265335083008,0.003667286739303747
0.014451742172241211,0.0037204358224820623
0.014451742172241211,0.0037735849056603774
0.014455556869506836,0.0038267339888386925
0.014455556869506836,0.0038798830720170076
0.014457225799560547,0.003933032155195323
0.014457464218139648,0.003986181238373638
0.014458656311035156,0.004039330321551953
0.014459609985351562,0.004092479404730269
0.014460086822509766,0.0041456284879085835
0.014460086822509766,0.004198777571086899
0.014461278915405273,0.004251926654265214
0.014461517333984375,0.004305075737443529
0.014461755752563477,0.004358224820621844
0.014462471008300781,0.004411373903800159
0.01446390151977539,0.004464522986978475
0.01446533203125,0.00451767207015679
0.014465808868408203,0.004570821153335105
0.014466047286987305,0.00462397023651342
0.014467477798461914,0.004677119319691735
0.014467477798461914,0.004730268402870051
0.014467954635620117,0.0047834174860483655
0.014468669891357422,0.004836566569226681
0.014468908309936523,0.004889715652404996
0.01447153091430664,0.004942864735583311
0.014472007751464844,0.004996013818761627
0.01447296142578125,0.005049162901939941
0.014473676681518555,0.005102311985118257
0.014474153518676758,0.005155461068296572
0.014475584030151367,0.005208610151474887
0.01447606086730957,0.005261759234653203
0.014477252960205078,0.005314908317831517
0.01447749137878418,0.005368057401009833
0.014477968215942383,0.0054212064841881475
0.014478445053100586,0.005474355567366463
0.014478445053100586,0.005527504650544778
0.01447916030883789,0.005580653733723093
0.014479398727416992,0.005633802816901409
0.014481067657470703,0.005686951900079723
0.014481544494628906,0.005740100983258039
0.014481544494628906,0.005793250066436354
0.014483213424682617,0.005846399149614669
0.014483451843261719,0.005899548232792985
0.01448369026184082,0.005952697315971299
0.01448369026184082,0.006005846399149615
0.014483928680419922,0.0060589954823279295
0.014484167098999023,0.006112144565506245
0.014484643936157227,0.006165293648684561
0.01448512077331543,0.006218442731862875
0.01448512077331543,0.006271591815041191
0.01448512077331543,0.006324740898219505
0.014485597610473633,0.006377889981397821
0.014485597610473633,0.0064310390645761365
0.014486312866210938,0.006484188147754451
0.014486551284790039,0.006537337230932767
0.014487743377685547,0.006590486314111081
0.01448822021484375,0.006643635397289397
0.014488458633422852,0.0066967844804677115
0.014489173889160156,0.006749933563646027
0.01448965072631836,0.006803082646824343
0.014489889144897461,0.006856231730002657
0.014491081237792969,0.006909380813180973
0.014492511749267578,0.006962529896359287
0.014493227005004883,0.007015678979537603
0.014493465423583984,0.0070688280627159185
0.014493703842163086,0.007121977145894233
0.014493703842163086,0.007175126229072549
0.014495134353637695,0.007228275312250863
0.014495134353637695,0.007281424395429179
0.014496326446533203,0.007334573478607494
0.01449728012084961,0.007387722561785809
0.01449728012084961,0.007440871644964125
0.014497756958007812,0.007494020728142439
0.014497756958007812,0.007547169811320755
0.014497995376586914,0.00760031889449907
0.014498233795166016,0.007653467977677385
0.01449894905090332,0.0077066170608557005
0.014499664306640625,0.007759766144034015
0.014499664306640625,0.00781291522721233
0.014500141143798828,0.007866064310390646
0.014500141143798828,0.007919213393568962
0.014502763748168945,0.007972362476747276
0.01450347900390625,0.008025511559925591
0.014504432678222656,0.008078660643103907
0.014504671096801758,0.008131809726282222
0.014505386352539062,0.008184958809460538
0.014505386352539062,0.008238107892638851
0.01450657844543457,0.008291256975817167
0.01450657844543457,0.008344406058995483
0.01450657844543457,0.008397555142173798
0.014507293701171875,0.008450704225352112
0.014507532119750977,0.008503853308530427
0.014507532119750977,0.008557002391708743
0.014507532119750977,0.008610151474887058
0.014510631561279297,0.008663300558065374
0.0145111083984375,0.008716449641243688
0.014511346817016602,0.008769598724422003
0.01451253890991211,0.008822747807600319
0.014513731002807617,0.008875896890778634
0.014513969421386719,0.00892904597395695
0.014513969421386719,0.008982195057135264
0.014513969421386719,0.00903534414031358
0.014514446258544922,0.009088493223491895
0.014514684677124023,0.00914164230667021
0.014514684677124023,0.009194791389848526
0.014515161514282227,0.00924794047302684
0.014515399932861328,0.009301089556205155
0.014516830444335938,0.00935423863938347
0.014518499374389648,0.009407387722561786
0.014519214630126953,0.009460536805740102
0.014519929885864258,0.009513685888918415
0.01452016830444336,0.009566834972096731
0.014520406723022461,0.009619984055275047
0.014520883560180664,0.009673133138453362
0.014523983001708984,0.009726282221631678
0.014523983001708984,0.009779431304809991
0.014524698257446289,0.009832580387988307
0.014525890350341797,0.009885729471166622
0.0145263671875,0.009938878554344938
0.0145263671875,0.009992027637523253
0.014527082443237305,0.010045176720701567
0.014527559280395508,0.010098325803879883
0.014528512954711914,0.010151474887058198
0.014528512954711914,0.010204623970236514
0.014529705047607422,0.01025777305341483
0.014530420303344727,0.010310922136593143
0.014532327651977539,0.010364071219771459
