SECONDS,decode_completed
41.462592363357544,1.0
41.47797226905823,2.0
41.493135929107666,3.0
41.50828814506531,4.0
41.52347469329834,5.0
41.53885293006897,6.0
41.554070711135864,7.0
41.56926679611206,8.0
41.58449864387512,9.0
41.59969091415405,10.0
41.6149640083313,11.0
41.63012361526489,12.0
41.64531207084656,13.0
41.660480976104736,14.0
41.67569661140442,15.0
41.69092059135437,16.0
41.70611834526062,17.0
41.72136855125427,18.0
41.73661828041077,19.0
41.75185966491699,20.0
41.76717472076416,21.0
41.78252601623535,22.0
41.7978618144989,23.0
41.813119649887085,24.0
41.82837533950806,25.0
41.84369659423828,26.0
41.8590784072876,27.0
41.87436485290527,28.0
41.889673709869385,29.0
41.904972314834595,30.0
41.920244455337524,31.0
41.93556475639343,32.0
41.95094585418701,33.0
41.9662344455719,34.0
41.98164510726929,35.0
41.996920585632324,36.0
42.01223659515381,37.0
42.02770161628723,38.0
42.04299473762512,39.0
42.05828022956848,40.0
42.07357692718506,41.0
42.08881425857544,42.0
42.10407209396362,43.0
42.119364976882935,44.0
42.13475942611694,45.0
42.150059938430786,46.0
42.165343046188354,47.0
42.18074083328247,48.0
42.19609975814819,49.0
42.211512088775635,50.0
42.22687005996704,51.0
42.24213409423828,52.0
42.257466316223145,53.0
42.27301859855652,54.0
42.288437366485596,55.0
42.303831577301025,56.0
42.31950044631958,57.0
42.33501100540161,58.0
42.35019373893738,59.0
42.36557126045227,60.0
42.3809711933136,61.0
42.396265506744385,62.0
42.41161847114563,63.0
42.42703914642334,64.0
42.44229531288147,65.0
42.4576256275177,66.0
42.47295331954956,67.0
42.51783990859985,68.0
42.53439259529114,69.0
42.53439259529114,70.0
42.55001783370972,72.0
42.55001783370972,71.0
42.56555724143982,74.0
42.56555724143982,73.0
42.58113622665405,76.0
42.58113622665405,75.0
42.59667253494263,77.0
42.59667253494263,78.0
42.612377643585205,80.0
42.612377643585205,79.0
42.62791419029236,82.0
42.62791419029236,81.0
42.643431425094604,84.0
42.643431425094604,83.0
42.658852100372314,85.0
42.658852100372314,86.0
42.67426347732544,87.0
42.67426347732544,88.0
42.68976378440857,90.0
42.68976378440857,89.0
42.70521569252014,92.0
42.70521569252014,91.0
42.7207407951355,94.0
42.7207407951355,93.0
42.73631811141968,96.0
42.73631811141968,95.0
42.751792907714844,98.0
42.751792907714844,97.0
42.767284631729126,100.0
42.767284631729126,99.0
42.78286004066467,102.0
42.78286004066467,101.0
42.798534870147705,104.0
42.798534870147705,103.0
42.81409311294556,106.0
42.81409311294556,105.0
42.82965016365051,107.0
42.82965016365051,108.0
42.845176219940186,109.0
42.845176219940186,110.0
42.86092972755432,111.0
42.86092972755432,112.0
42.87644338607788,113.0
42.87644338607788,114.0
42.89187049865723,115.0
42.89187049865723,116.0
42.90720248222351,117.0
42.90720248222351,118.0
42.92258048057556,120.0
42.92258048057556,119.0
42.93814134597778,122.0
42.93814134597778,121.0
42.95365858078003,124.0
42.95365858078003,123.0
42.96915888786316,126.0
42.96915888786316,125.0
42.98472309112549,127.0
42.98472309112549,128.0
43.00030303001404,130.0
43.00030303001404,129.0
43.01588177680969,132.0
43.01588177680969,131.0
43.031437397003174,134.0
43.031437397003174,133.0
43.04712677001953,135.0
43.04712677001953,136.0
43.06262397766113,137.0
43.06262397766113,138.0
43.07817888259888,139.0
43.07817888259888,140.0
43.09372687339783,141.0
43.09372687339783,142.0
43.10933017730713,143.0
43.10933017730713,144.0
43.12481999397278,145.0
43.12481999397278,146.0
43.14034175872803,147.0
43.14034175872803,148.0
43.15579676628113,149.0
43.15579676628113,150.0
43.171279430389404,152.0
43.171279430389404,151.0
43.18690347671509,154.0
43.18690347671509,153.0
43.202460050582886,156.0
43.202460050582886,155.0
43.217955112457275,157.0
43.217955112457275,158.0
43.23352837562561,159.0
43.23352837562561,160.0
43.24906516075134,162.0
43.24906516075134,161.0
43.26445960998535,163.0
43.26445960998535,164.0
43.280001163482666,165.0
43.280001163482666,166.0
43.295724391937256,167.0
