COUNT,Count,Percentage
43.572,1061,37.74457488438278
86.30000000000001,994,35.36108146567058
128.5,376,13.376022767698329
170.7,164,5.83422269654927
212.9,72,2.5613660618996796
255.1,25,0.8893632159373889
297.29999999999995,12,0.42689434364994666
339.5,7,0.24902170046246888
381.70000000000005,10,0.3557452863749555
423.9,4,0.1422981145499822
466.1,4,0.1422981145499822
508.29999999999995,9,0.32017075773745995
550.5,9,0.32017075773745995
592.7,10,0.3557452863749555
634.9,9,0.32017075773745995
677.1,7,0.24902170046246888
719.3,21,0.7470651013874067
761.5,10,0.3557452863749555
803.7,4,0.1422981145499822
