COUNT,Count,Percentage
41.3965,1022,36.35716826752046
83.76,1031,36.677339025257915
125.60000000000001,378,13.447171824973319
167.44,165,5.869797225186766
209.28,71,2.525791533262184
251.12,25,0.8893632159373889
292.96000000000004,11,0.3913198150124511
334.8,8,0.2845962290999644
376.64,10,0.3557452863749555
418.48,4,0.1422981145499822
460.32,4,0.1422981145499822
502.16,8,0.2845962290999644
544.0,9,0.32017075773745995
585.8399999999999,10,0.3557452863749555
627.6800000000001,8,0.2845962290999644
669.52,8,0.2845962290999644
711.36,21,0.7470651013874067
753.2,9,0.32017075773745995
795.04,6,0.21344717182497333
