COUNT,Count,Percentage
289.2235,1116,39.701173959445036
889.92,918,32.657417289220916
1483.1999999999998,156,5.549626467449306
2076.48,171,6.08324439701174
2669.76,81,2.8815368196371396
3263.04,42,1.4941302027748133
3856.3199999999997,126,4.482390608324439
4449.6,38,1.351832088224831
5042.88,19,0.6759160441124155
5636.16,23,0.8182141586623978
6229.4400000000005,22,0.7826396300249022
6822.719999999999,22,0.7826396300249022
7416.0,31,1.102810387762362
8009.280000000001,7,0.24902170046246888
8602.560000000001,13,0.4624688722874422
9195.84,6,0.21344717182497333
9789.119999999999,8,0.2845962290999644
10975.68,3,0.10672358591248667
11568.96,3,0.10672358591248667
12162.24,3,0.10672358591248667
