inter_batch_delay,cdf
2.8133392333984375e-05,0.0001320306311064167
2.86102294921875e-05,0.0002640612622128334
2.9325485229492188e-05,0.00039609189331925006
3.0517578125e-05,0.0005281225244256667
3.075599670410156e-05,0.0006601531555320834
3.075599670410156e-05,0.0007921837866385001
3.075599670410156e-05,0.0009242144177449168
3.337860107421875e-05,0.0010562450488513335
4.38690185546875e-05,0.0011882756799577502
5.221366882324219e-05,0.0013203063110641669
5.2928924560546875e-05,0.0014523369421705836
5.340576171875e-05,0.0015843675732770002
5.364418029785156e-05,0.001716398204383417
5.364418029785156e-05,0.0018484288354898336
5.459785461425781e-05,0.0019804594665962503
5.4836273193359375e-05,0.002112490097702667
5.4836273193359375e-05,0.0022445207288090837
5.53131103515625e-05,0.0023765513599155004
5.53131103515625e-05,0.002508581991021917
5.555152893066406e-05,0.0026406126221283337
5.555152893066406e-05,0.0027726432532347504
5.555152893066406e-05,0.002904673884341167
5.555152893066406e-05,0.003036704515447584
5.5789947509765625e-05,0.0031687351465540005
5.5789947509765625e-05,0.003300765777660417
5.5789947509765625e-05,0.003432796408766834
5.602836608886719e-05,0.0035648270398732505
5.602836608886719e-05,0.0036968576709796672
5.602836608886719e-05,0.003828888302086084
5.602836608886719e-05,0.003960918933192501
5.602836608886719e-05,0.004092949564298918
5.626678466796875e-05,0.004224980195405334
5.626678466796875e-05,0.004357010826511751
5.626678466796875e-05,0.004489041457618167
5.626678466796875e-05,0.0046210720887245845
5.650520324707031e-05,0.004753102719831001
5.650520324707031e-05,0.004885133350937418
5.6743621826171875e-05,0.005017163982043834
5.6743621826171875e-05,0.005149194613150251
5.6743621826171875e-05,0.0052812252442566675
5.6743621826171875e-05,0.005413255875363085
5.698204040527344e-05,0.005545286506469501
5.698204040527344e-05,0.005677317137575918
5.698204040527344e-05,0.005809347768682334
5.698204040527344e-05,0.005941378399788751
5.698204040527344e-05,0.006073409030895168
5.698204040527344e-05,0.006205439662001585
5.7220458984375e-05,0.006337470293108001
5.7220458984375e-05,0.006469500924214418
5.7220458984375e-05,0.006601531555320834
5.7220458984375e-05,0.0067335621864272515
5.7220458984375e-05,0.006865592817533668
5.7220458984375e-05,0.006997623448640085
5.7220458984375e-05,0.007129654079746501
5.745887756347656e-05,0.007261684710852918
5.745887756347656e-05,0.0073937153419593345
5.745887756347656e-05,0.007525745973065752
5.7697296142578125e-05,0.007657776604172168
5.7697296142578125e-05,0.007789807235278585
5.793571472167969e-05,0.007921837866385001
5.793571472167969e-05,0.008053868497491418
5.793571472167969e-05,0.008185899128597835
5.793571472167969e-05,0.00831792975970425
5.793571472167969e-05,0.008449960390810668
