Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
1024.00000,1023.51884,1023.51884,1023.51884
25.00000,25.00312,25.00312,25.00312
1049.00000,1048.38044,1048.38044,1048.38044
0.01195,0.01195,0.01195,0.01195
0.11289,0.11293,0.11293,0.11293
0.01195,0.01229,0.01289,0.01292
0.39973,0.39972,0.39972,0.39972
0.01599,0.01600,0.01600,0.01600
62.54237,62.48965,62.48965,62.48965
0.04000,0.03999,0.03999,0.03999
0.01212,0.01212,0.01212,0.01212
