Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
512.00000,512.34672,512.34672,512.34672
23.00000,22.98865,22.98865,22.98865
535.00000,535.39329,535.39329,535.39329
0.01179,0.01178,0.01178,0.01178
0.07658,0.07661,0.07661,0.07661
0.01179,0.01284,0.01295,0.01313
0.33598,0.33588,0.33588,0.33588
0.01461,0.01460,0.01460,0.01460
68.45679,68.51145,68.51145,68.51145
0.00000,0.00000,0.00000,0.00000
0.01070,0.01071,0.01071,0.01071
