,cdf,Number of Prompt Tokens
0,0.0,512.3467181125903
1,0.01,512.3467181125903
2,0.02,512.3467181125903
3,0.03,512.3467181125903
4,0.04,512.3467181125903
5,0.05,512.3467181125903
6,0.06,512.3467181125903
7,0.07,512.3467181125903
8,0.08,512.3467181125903
9,0.09,512.3467181125903
10,0.1,512.3467181125903
11,0.11,512.3467181125903
12,0.12,512.3467181125903
13,0.13,512.3467181125903
14,0.14,512.3467181125903
15,0.15,512.3467181125903
16,0.16,512.3467181125903
17,0.17,512.3467181125903
18,0.18,512.3467181125903
19,0.19,512.3467181125903
20,0.2,512.3467181125903
21,0.21,512.3467181125903
22,0.22,512.3467181125903
23,0.23,512.3467181125903
24,0.24,512.3467181125903
25,0.25,512.3467181125903
26,0.26,512.3467181125903
27,0.27,512.3467181125903
28,0.28,512.3467181125903
29,0.29,512.3467181125903
30,0.3,512.3467181125903
31,0.31,512.3467181125903
32,0.32,512.3467181125903
33,0.33,512.3467181125903
34,0.34,512.3467181125903
35,0.35000000000000003,512.3467181125903
36,0.36,512.3467181125903
37,0.37,512.3467181125903
38,0.38,512.3467181125903
39,0.39,512.3467181125903
40,0.4,512.3467181125903
41,0.41000000000000003,512.3467181125903
42,0.42,512.3467181125903
43,0.43,512.3467181125903
44,0.44,512.3467181125903
45,0.45,512.3467181125903
46,0.46,512.3467181125903
47,0.47000000000000003,512.3467181125903
48,0.48,512.3467181125903
49,0.49,512.3467181125903
50,0.5,512.3467181125903
51,0.51,512.3467181125903
52,0.52,512.3467181125903
53,0.53,512.3467181125903
54,0.54,512.3467181125903
55,0.55,512.3467181125903
56,0.56,512.3467181125903
57,0.5700000000000001,512.3467181125903
58,0.58,512.3467181125903
59,0.59,512.3467181125903
60,0.6,512.3467181125903
61,0.61,512.3467181125903
62,0.62,512.3467181125903
63,0.63,512.3467181125903
64,0.64,512.3467181125903
65,0.65,512.3467181125903
66,0.66,512.3467181125903
67,0.67,512.3467181125903
68,0.68,512.3467181125903
69,0.6900000000000001,512.3467181125903
70,0.7000000000000001,512.3467181125903
71,0.71,512.3467181125903
72,0.72,512.3467181125903
73,0.73,512.3467181125903
74,0.74,512.3467181125903
75,0.75,512.3467181125903
76,0.76,512.3467181125903
77,0.77,512.3467181125903
78,0.78,512.3467181125903
79,0.79,512.3467181125903
80,0.8,512.3467181125903
81,0.81,512.3467181125903
82,0.8200000000000001,512.3467181125903
83,0.8300000000000001,512.3467181125903
84,0.84,512.3467181125903
85,0.85,512.3467181125903
86,0.86,512.3467181125903
87,0.87,512.3467181125903
88,0.88,512.3467181125903
89,0.89,512.3467181125903
90,0.9,512.3467181125903
91,0.91,512.3467181125903
92,0.92,512.3467181125903
93,0.93,512.3467181125903
94,0.9400000000000001,512.3467181125903
95,0.9500000000000001,512.3467181125903
96,0.96,512.3467181125903
97,0.97,512.3467181125903
98,0.98,512.3467181125903
99,0.99,512.3467181125903
100,1.0,512.3467181125903
