BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1809809,636.0,620.0,16.0,18.0,0.0658731460571289,8.368492126464844e-05
1809810,512.0,495.0,17.0,18.0,0.0545802116394043,8.845329284667969e-05
1809811,558.0,541.0,17.0,19.0,0.08123588562011719,8.654594421386719e-05
1809812,512.0,494.0,18.0,19.0,0.05449342727661133,9.465217590332031e-05
1809813,512.0,494.0,18.0,19.0,0.05464577674865723,7.963180541992188e-05
1809814,512.0,494.0,18.0,19.0,0.055322885513305664,7.677078247070312e-05
1809815,512.0,494.0,18.0,19.0,0.05547356605529785,8.440017700195312e-05
1809816,512.0,494.0,18.0,19.0,0.05606245994567871,8.368492126464844e-05
1809817,512.0,494.0,18.0,19.0,0.056287288665771484,8.416175842285156e-05
1809818,512.0,494.0,18.0,19.0,0.056584835052490234,8.344650268554688e-05
1809819,512.0,494.0,18.0,19.0,0.05679726600646973,8.416175842285156e-05
1809820,512.0,494.0,18.0,19.0,0.056974172592163086,8.296966552734375e-05
1809821,512.0,494.0,18.0,19.0,0.05702328681945801,8.225440979003906e-05
1809822,512.0,494.0,18.0,19.0,0.057806968688964844,8.916854858398438e-05
1809823,512.0,494.0,18.0,19.0,0.05800676345825195,8.440017700195312e-05
1809824,512.0,494.0,18.0,19.0,0.05806779861450195,0.00010085105895996094
1809825,512.0,494.0,18.0,19.0,0.05795454978942871,8.249282836914062e-05
1809826,512.0,494.0,18.0,19.0,0.0585331916809082,7.772445678710938e-05
1809827,512.0,494.0,18.0,19.0,0.05874204635620117,8.320808410644531e-05
1809828,512.0,494.0,18.0,19.0,0.058861732482910156,8.487701416015625e-05
1809829,512.0,494.0,18.0,19.0,0.059247493743896484,7.915496826171875e-05
1809830,512.0,494.0,18.0,19.0,0.06024003028869629,7.653236389160156e-05
1809831,512.0,494.0,18.0,19.0,0.06038999557495117,8.535385131835938e-05
1809832,512.0,494.0,18.0,19.0,0.0608820915222168,8.654594421386719e-05
1809833,512.0,494.0,18.0,19.0,0.06099557876586914,8.749961853027344e-05
1809834,512.0,494.0,18.0,19.0,0.061470746994018555,8.320808410644531e-05
1809835,512.0,494.0,18.0,19.0,0.061521291732788086,8.630752563476562e-05
1809836,512.0,494.0,18.0,19.0,0.06238842010498047,8.535385131835938e-05
1809837,512.0,495.0,17.0,18.0,0.06752705574035645,8.296966552734375e-05
1809838,1007.0,991.0,16.0,18.0,0.11292695999145508,9.322166442871094e-05
1809839,512.0,495.0,17.0,18.0,0.05133652687072754,0.0001010894775390625
1809840,512.0,496.0,16.0,17.0,0.04992818832397461,8.058547973632812e-05
1809841,512.0,496.0,16.0,17.0,0.05025053024291992,7.653236389160156e-05
