Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2048.00000,2048.78465,2048.78465,2048.78465
277.00000,277.27267,277.27267,277.27267
2325.00000,2323.89999,2323.89999,2323.89999
0.02389,0.02397,0.02824,0.02916
2.70997,2.62479,4.60434,5.17066
0.02389,0.01901,0.04509,0.04807
9.30300,9.32781,9.92444,10.08451
0.03358,0.03367,0.03583,0.03641
29.87539,29.57711,32.16892,32.88448
0.15301,0.15583,0.24783,0.27009
0.09271,0.08433,0.15032,0.16914
