,cdf,End to End Latency
0,0.0,8.356170163086983
1,0.01,8.356170163086983
2,0.02,8.356170163086983
3,0.03,8.356170163086983
4,0.04,8.42328765878727
5,0.05,8.42328765878727
6,0.06,8.42328765878727
7,0.07,8.47397932455958
8,0.08,8.47397932455958
9,0.09,8.47397932455958
10,0.1,8.524976054706144
11,0.11,8.524976054706144
12,0.12,8.524976054706144
13,0.13,8.610653517146666
14,0.14,8.610653517146666
15,0.15,8.610653517146666
16,0.16,8.610653517146666
17,0.17,8.66247275778687
18,0.18,8.66247275778687
19,0.19,8.66247275778687
20,0.2,8.749532085529808
21,0.21,8.749532085529808
22,0.22,8.749532085529808
23,0.23,8.837466374355909
24,0.24,8.837466374355909
25,0.25,8.837466374355909
26,0.26,8.890650583404684
27,0.27,8.890650583404684
28,0.28,8.890650583404684
29,0.29,8.890650583404684
30,0.3,8.96206107297805
31,0.31,8.96206107297805
32,0.32,8.96206107297805
33,0.33,9.034045137901533
34,0.34,9.034045137901533
35,0.35000000000000003,9.034045137901533
36,0.36,9.070253699367509
37,0.37,9.070253699367509
38,0.38,9.070253699367509
39,0.39,9.124838831399506
40,0.4,9.124838831399506
41,0.41000000000000003,9.124838831399506
42,0.42,9.16141129508
43,0.43,9.16141129508
44,0.44,9.16141129508
45,0.45,9.16141129508
46,0.46,9.216545016993011
47,0.47000000000000003,9.216545016993011
48,0.48,9.216545016993011
49,0.49,9.327809848096624
50,0.5,9.327809848096624
51,0.51,9.327809848096624
52,0.52,9.365195822050945
53,0.53,9.365195822050945
54,0.54,9.365195822050945
55,0.55,9.421555927004546
56,0.56,9.421555927004546
57,0.5700000000000001,9.421555927004546
58,0.58,9.421555927004546
59,0.59,9.459317636369587
60,0.6,9.459317636369587
61,0.61,9.459317636369587
62,0.62,9.554385390965288
63,0.63,9.554385390965288
64,0.64,9.554385390965288
65,0.65,9.611884045946328
66,0.66,9.611884045946328
67,0.67,9.611884045946328
68,0.68,9.650408592699073
69,0.6900000000000001,9.650408592699073
70,0.7000000000000001,9.650408592699073
71,0.71,9.708485118963374
72,0.72,9.708485118963374
73,0.73,9.708485118963374
74,0.74,9.708485118963374
75,0.75,9.727921525607947
76,0.76,9.727921525607947
77,0.77,9.727921525607947
78,0.78,9.806057049229992
79,0.79,9.806057049229992
80,0.8,9.806057049229992
81,0.81,9.845359843713084
82,0.8200000000000001,9.845359843713084
83,0.8300000000000001,9.845359843713084
84,0.84,9.884820164268726
85,0.85,9.884820164268726
86,0.86,9.884820164268726
87,0.87,9.884820164268726
88,0.88,9.924438642263313
89,0.89,9.924438642263313
90,0.9,9.924438642263313
91,0.91,10.004152608697645
92,0.92,10.004152608697645
93,0.93,10.004152608697645
94,0.9400000000000001,10.044249372563401
95,0.9500000000000001,10.044249372563401
96,0.96,10.044249372563401
97,0.97,10.084506844740538
98,0.98,10.084506844740538
99,0.99,10.084506844740538
100,1.0,10.165506493093956
