Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
1024.00000,1023.51884,1023.51884,1023.51884
149.00000,148.85924,148.85924,148.85924
1173.00000,1172.62705,1172.62705,1172.62705
0.02099,0.02100,0.02505,0.02586
1.25951,1.29304,2.21887,2.39887
0.02099,0.01642,0.04247,0.04500
4.36568,4.41497,4.67861,4.74457
0.02930,0.02963,0.03140,0.03184
34.24320,33.68325,36.70822,37.22575
0.13226,0.13960,0.22515,0.23716
0.07977,0.07465,0.13252,0.14385
