,cdf,Number of Total Tokens
0,0.0,1172.6270535281612
1,0.01,1172.6270535281612
2,0.02,1172.6270535281612
3,0.03,1172.6270535281612
4,0.04,1172.6270535281612
5,0.05,1172.6270535281612
6,0.06,1172.6270535281612
7,0.07,1172.6270535281612
8,0.08,1172.6270535281612
9,0.09,1172.6270535281612
10,0.1,1172.6270535281612
11,0.11,1172.6270535281612
12,0.12,1172.6270535281612
13,0.13,1172.6270535281612
14,0.14,1172.6270535281612
15,0.15,1172.6270535281612
16,0.16,1172.6270535281612
17,0.17,1172.6270535281612
18,0.18,1172.6270535281612
19,0.19,1172.6270535281612
20,0.2,1172.6270535281612
21,0.21,1172.6270535281612
22,0.22,1172.6270535281612
23,0.23,1172.6270535281612
24,0.24,1172.6270535281612
25,0.25,1172.6270535281612
26,0.26,1172.6270535281612
27,0.27,1172.6270535281612
28,0.28,1172.6270535281612
29,0.29,1172.6270535281612
30,0.3,1172.6270535281612
31,0.31,1172.6270535281612
32,0.32,1172.6270535281612
33,0.33,1172.6270535281612
34,0.34,1172.6270535281612
35,0.35000000000000003,1172.6270535281612
36,0.36,1172.6270535281612
37,0.37,1172.6270535281612
38,0.38,1172.6270535281612
39,0.39,1172.6270535281612
40,0.4,1172.6270535281612
41,0.41000000000000003,1172.6270535281612
42,0.42,1172.6270535281612
43,0.43,1172.6270535281612
44,0.44,1172.6270535281612
45,0.45,1172.6270535281612
46,0.46,1172.6270535281612
47,0.47000000000000003,1172.6270535281612
48,0.48,1172.6270535281612
49,0.49,1172.6270535281612
50,0.5,1172.6270535281612
51,0.51,1172.6270535281612
52,0.52,1172.6270535281612
53,0.53,1172.6270535281612
54,0.54,1172.6270535281612
55,0.55,1172.6270535281612
56,0.56,1172.6270535281612
57,0.5700000000000001,1172.6270535281612
58,0.58,1172.6270535281612
59,0.59,1172.6270535281612
60,0.6,1172.6270535281612
61,0.61,1172.6270535281612
62,0.62,1172.6270535281612
63,0.63,1172.6270535281612
64,0.64,1172.6270535281612
65,0.65,1172.6270535281612
66,0.66,1172.6270535281612
67,0.67,1172.6270535281612
68,0.68,1172.6270535281612
69,0.6900000000000001,1172.6270535281612
70,0.7000000000000001,1172.6270535281612
71,0.71,1172.6270535281612
72,0.72,1172.6270535281612
73,0.73,1172.6270535281612
74,0.74,1172.6270535281612
75,0.75,1172.6270535281612
76,0.76,1172.6270535281612
77,0.77,1172.6270535281612
78,0.78,1172.6270535281612
79,0.79,1172.6270535281612
80,0.8,1172.6270535281612
81,0.81,1172.6270535281612
82,0.8200000000000001,1172.6270535281612
83,0.8300000000000001,1172.6270535281612
84,0.84,1172.6270535281612
85,0.85,1172.6270535281612
86,0.86,1172.6270535281612
87,0.87,1172.6270535281612
88,0.88,1172.6270535281612
89,0.89,1172.6270535281612
90,0.9,1172.6270535281612
91,0.91,1172.6270535281612
92,0.92,1172.6270535281612
93,0.93,1172.6270535281612
94,0.9400000000000001,1172.6270535281612
95,0.9500000000000001,1172.6270535281612
96,0.96,1172.6270535281612
97,0.97,1172.6270535281612
98,0.98,1172.6270535281612
99,0.99,1172.6270535281612
100,1.0,1172.6270535281612
