BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1956917,512.0,494.0,18.0,19.0,0.06413531303405762,8.654594421386719e-05
1956918,622.0,604.0,18.0,21.0,0.07592129707336426,0.00010609626770019531
1956919,512.0,492.0,20.0,21.0,0.05548882484436035,0.00010156631469726562
1956920,512.0,492.0,20.0,21.0,0.0642237663269043,7.987022399902344e-05
1956921,512.0,492.0,20.0,21.0,0.06018185615539551,9.179115295410156e-05
1956922,604.0,584.0,20.0,22.0,0.06592345237731934,8.845329284667969e-05
1956923,512.0,491.0,21.0,22.0,0.05776333808898926,0.00010466575622558594
1956924,512.0,492.0,20.0,21.0,0.055788278579711914,9.1552734375e-05
1956925,512.0,494.0,18.0,19.0,0.056490182876586914,8.702278137207031e-05
1956926,601.0,583.0,18.0,20.0,0.06584334373474121,0.00010895729064941406
1956927,543.0,524.0,19.0,21.0,0.07160282135009766,9.34600830078125e-05
1956928,512.0,492.0,20.0,21.0,0.05801105499267578,0.00011134147644042969
1956929,512.0,492.0,20.0,21.0,0.0570831298828125,9.012222290039062e-05
1956930,596.0,576.0,20.0,23.0,0.07774615287780762,8.893013000488281e-05
1956931,512.0,490.0,22.0,23.0,0.05666923522949219,0.00010180473327636719
1956932,512.0,491.0,21.0,22.0,0.053217411041259766,8.749961853027344e-05
1956933,512.0,491.0,21.0,22.0,0.0572357177734375,8.606910705566406e-05
1956934,512.0,491.0,21.0,22.0,0.056171417236328125,8.726119995117188e-05
1956935,512.0,491.0,21.0,22.0,0.05609011650085449,8.20159912109375e-05
1956936,512.0,491.0,21.0,22.0,0.060883283615112305,8.797645568847656e-05
1956937,512.0,492.0,20.0,21.0,0.05535626411437988,8.797645568847656e-05
1956938,512.0,492.0,20.0,21.0,0.05777096748352051,8.797645568847656e-05
1956939,512.0,492.0,20.0,21.0,0.05994009971618652,8.225440979003906e-05
1956940,512.0,492.0,20.0,21.0,0.0628209114074707,9.083747863769531e-05
1956941,512.0,492.0,20.0,21.0,0.060152530670166016,9.036064147949219e-05
1956942,512.0,493.0,19.0,20.0,0.05644583702087402,8.559226989746094e-05
1956943,512.0,493.0,19.0,20.0,0.0564730167388916,9.417533874511719e-05
1956944,512.0,493.0,19.0,20.0,0.05989193916320801,8.797645568847656e-05
1956945,512.0,493.0,19.0,20.0,0.06460332870483398,8.869171142578125e-05
1956946,512.0,494.0,18.0,19.0,0.06306862831115723,9.584426879882812e-05
1956947,863.0,845.0,18.0,20.0,0.09902572631835938,8.749961853027344e-05
1956948,512.0,493.0,19.0,20.0,0.06180858612060547,0.00011038780212402344
1956949,561.0,543.0,18.0,20.0,0.07393026351928711,9.083747863769531e-05
1956950,543.0,524.0,19.0,21.0,0.07056140899658203,0.00011754035949707031
1956951,512.0,492.0,20.0,21.0,0.0555269718170166,9.703636169433594e-05
1956952,512.0,492.0,20.0,21.0,0.055666208267211914,8.797645568847656e-05
1956953,512.0,492.0,20.0,21.0,0.056396484375,8.893013000488281e-05
1956954,512.0,492.0,20.0,21.0,0.06006979942321777,8.821487426757812e-05
1956955,512.0,492.0,20.0,21.0,0.05623316764831543,8.821487426757812e-05
1956956,644.0,624.0,20.0,22.0,0.07083392143249512,8.988380432128906e-05
1956957,512.0,491.0,21.0,22.0,0.06693005561828613,9.870529174804688e-05
1956958,566.0,545.0,21.0,23.0,0.07198929786682129,8.749961853027344e-05
1956959,558.0,536.0,22.0,25.0,0.0760645866394043,9.846687316894531e-05
1956960,548.0,524.0,24.0,26.0,0.06894755363464355,0.00010418891906738281
1956961,512.0,488.0,24.0,25.0,0.057462215423583984,0.00010132789611816406
1956962,512.0,488.0,24.0,25.0,0.05910038948059082,9.131431579589844e-05
